;Unnamed: 0;Отметка времени;Ваш пол;Ваш возраст;Укажите вашу профессию, по которой вы работает сейчас (если вы фрилансер - укажите основное поле деятельности);Unnamed: 4;Вам нравится ваша профессия? Не по зарплате, не по удобствам и т. д., а именно сама деятельность.;Сколько лет вы работаете по профессии?;Я могу объяснить свои действия [■];Другие не видят меня таким, каким себя вижу я [■];Я принимаю критику со стороны других людей [■];Я могу точно описать, что я чувствую [■];Вещи, которые случаются в моей жизни, имеют для меня какой-либо смысл [■];Я остаюсь спокойным даже в сложных ситуациях [■];Я склонен к вспышкам гнева [■];Я чувствую себя несчастным [■];Меня раздражают различные вещи, другие люди или я сам [■];Я могу увлечься и сделать что-то о чем буду потом жалеть [■];Я уверен в своих целях на будущее [■];Моя карьера движется в правильном направлении [■];Мне трудно оставаться энтузиастом, когда я встречаюсь с трудностями [■];Я чувствую себя воодушевленным, когда думаю о своих целях [■];Я последовательно двигаясь к достижению своих целей [■];Мои коллеги необщительны [■];Я хорошо лажу со своими коллегами [■];Я легко могу понять, что чувствуют другие люди [■];Я не могу предсказать, как мои коллеги поведут себя в различных ситуациях [■];Людям больше нравится работать со мной, чем с другими  [■];Я встречаю людей с тяжелым характером [■];Я часто добиваюсь взаимовыгодных результатов [■];Я чувствую себя не комфортно, когда другие люди не могут сдержать эмоции [■];У меня быстро заканчивается терпение с некомпетентными людьми [■];Я душа компании [■];Я немного беспокоюсь за других [■];Я всегда готов к неожиданным ситуациям [■];Я не стрессоустойчивый [■];У меня богатый словарный запас [■];Я не многословен [■];Я заинтересован в людях [■];Я часто разбрасываю свои вещи повсюду [■];Я почти всегда спокоен [■];У меня есть сложности с пониманием абстракций [■];Я чувствую себя комфортно в компаниях людей [■];Я часто оскорбляю людей [■];Я уделяю внимание деталям [■];Я беспокоюсь о разных вещах [■];У меня богатое воображение [■];В компании я держусь на заднем плане [■];Я понимаю эмоции других людей [■];Я не очень люблю убирать за собой мусор [■];Я редко чувствую грусть [■];Меня не особо интресовала математика [■];Обычно я первый начинаю разговор [■];Меня мало интересуют проблемы друзей [■];Я предпочитаю выполнять всю работу по дому сразу [■];Меня легко отвлечь [■];В моей голове много отличных идей [■];Мне мало есть, что сказать [■];Я добрый [■];Я часто забываю положить вещи обратно [■];Я легко расстраиваюсь [■];Мне сложно представить несуществующий объект [■];Я разговариваю со многими людьми на встречах [■];Меня не заботит, чем живут окружающие [■];Я люблю порядок [■];Переходы от грусти к радости у меня могут происходить несколько раз за день [■];Я быстро осваиваю что-то новое [■];Я не люблю быть в центре внимания [■];Я уделяю время на других [■];Я уклоняюсь от своих обязанностей [■];У меня бывают частые перепады настроения [■];Я использую сложные выражения в речи [■];Мне нравится, когда меня слушают люди [■];Я чувствую эмоции других людей [■];Я следую расписанию [■];Я раздражительный [■];Я трачу время на обдумывание произошедшего [■];Я веду себя тихо среди незнакомцев [■];Мне легко повлиять на чувства людей [■];Я люблю то, чем я занимаюсь [■];На меня часто находит хандра [■];Мне не хватает времени, чтобы воплотить все мои задумки [■];Я легко знакомлюсь с людьми;Мне нравится что-нибудь мастерить;Я люблю посещать музеи, театры и выставки;Мне нравиться присматривать за  животными;Мне обычно нравиться что-то вычислять, чертить чертежи или составлять графики;Я легко нахожу язык со сверстниками или детьми;Я с удовольствием ухаживаю за растениями;Я пишу почти без ошибок;Мои поделки обычно интересны другим людям;Мне говорили, что у меня есть художественные способности;Я люблю читать об окружающей природе;Я бы хотел принять участие в спектакле или концерте;Я люблю читать про устройство разных приборов и механизмов;Мне нравятся разгадывать  различные головоломки и ребусы;Я легко улаживаю разногласия между людьми;Мне говорили, у меня есть способности к работе с техникой;Людям нравится мое творчество;У меня есть способности к работе с растениями и животными;Я могу ясно излагать свои мысли в письменной форме;Я почти никогда ни с кем не ссорюсь;Люди одобряли мои технические решения;Мне легко даются иностранные языки;Я часто помогаю незнакомым людям;Я провожу много времени за музыкой, рисованием или чтением книг;Мне бы понравилось обучать животных или собирать мной выращенный урожай;В детстве мне нравилось разбирать различную технику;Мне обычно удается убедить людей в своей правоте;Я люблю наблюдать за поведением зверей;Я люблю читать научно-популярную, критическую литературу, публицистику;Стараюсь понять секреты мастерства и пробую свои силы в живописи,музыке и т. п.;Если вам не нравится Ваша профессия, то кем бы Вы хотели работать? ;encoded;Кем вы еще работали от года и больше?;encoded_1
0;0;22.10.2018 13:56:46;Мужской;26;Сисадмин;2;Да;2-3 года;Почти всегда;Обычно;Обычно;Редко;Обычно;Обычно;Почти никогда;Обычно;Обычно;Обычно;Редко;Иногда;Обычно;Редко;Иногда;Редко;Обычно;Иногда;Иногда;Иногда;Редко;Обычно;Обычно;Редко;Не согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Согласен;Скорее несогласен;Трудно решить;Скорее согласен;Не согласен;Скорее несогласен;Не согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Трудно решить;Согласен;Не согласен;Скорее несогласен;Не согласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Не согласен;Не согласен;Скорее согласен;Скорее согласен;Не согласен;Скорее несогласен;Согласен;Скорее несогласен;Согласен;Не согласен;Трудно решить;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Согласен;Скорее несогласен;Трудно решить;Согласен;Скорее согласен;Нет;Да;Нет;Да;Да;Нет;Нет;Да;Нет;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Да;Нет;Да;Нет;Нет;Нет;Да;Нет;Да;Нет;Да;Да;Нет;Мне нравится моя профессия;7;У меня не было других работ;0
1;1;22.10.2018 14:33:55;Мужской;21;Программист;3;Да;1 год;Почти всегда;Иногда;Почти всегда;Почти всегда;Почти всегда;Почти всегда;Почти никогда;Редко;Иногда;Обычно;Почти всегда;Обычно;Редко;Почти всегда;Иногда;Почти всегда;Обычно;Обычно;Обычно;Иногда;Иногда;Иногда;Иногда;Почти никогда;Скорее несогласен;Не согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Согласен;Скорее несогласен;Скорее согласен;Не согласен;Согласен;Согласен;Согласен;Трудно решить;Скорее согласен;Скорее согласен;Согласен;Трудно решить;Трудно решить;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее несогласен;Согласен;Скорее несогласен;Трудно решить;Не согласен;Согласен;Скорее согласен;Согласен;Не согласен;Согласен;Не согласен;Скорее согласен;Трудно решить;Не согласен;Трудно решить;Согласен;Согласен;Трудно решить;Скорее несогласен;Скорее согласен;Согласен;Трудно решить;Согласен;Трудно решить;Согласен;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Да;Да;Да;Да;Художник;4;У меня не было других работ;0
2;2;22.10.2018 14:55:25;Мужской;22;Налоговый инспектор;3;Нет;1 год;Почти всегда;Иногда;Обычно;Обычно;Иногда;Обычно;Редко;Иногда;Обычно;Иногда;Редко;Редко;Обычно;Почти всегда;Почти всегда;Иногда;Обычно;Обычно;Иногда;Иногда;Редко;Обычно;Обычно;Редко;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Согласен;Не согласен;Не согласен;Скорее согласен;Не согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Не согласен;Скорее несогласен;Согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Согласен;Не согласен;Трудно решить;Не согласен;Трудно решить;Скорее согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Согласен;Скорее согласен;Трудно решить;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее согласен;Согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Нет;Да;Нет;Да;Нет;Нет;Нет;Да;Да;Нет;Да;Да;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Да;Нет;Да;Да;Да;Да;Нет;Да;Я хотел бы вообще не работать;8;У меня не было других работ;0
3;3;22.10.2018 15:39:21;Мужской;21;геодезист;3;Да;1 год;Почти всегда;Обычно;Редко;Обычно;Почти всегда;Обычно;Редко;Редко;Иногда;Почти никогда;Обычно;Обычно;Редко;Обычно;Обычно;Почти всегда;Почти всегда;Обычно;Иногда;Иногда;Иногда;Почти всегда;Иногда;Обычно;Не согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Трудно решить;Не согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Не согласен;Не согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее согласен;Не согласен;Не согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Не согласен;Согласен;Да;Нет;Нет;Нет;Да;Да;Нет;Да;Нет;Нет;Нет;Нет;Да;Нет;Нет;Да;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Нет;свой бизнес;5;У меня не было других работ;0
4;4;22.10.2018 16:41:06;Мужской;35;Переводчик;3;Да;Больше 5 лет;Обычно;Иногда;Редко;Почти всегда;Обычно;Обычно;Редко;Иногда;Иногда;Иногда;Обычно;Обычно;Иногда;Обычно;Почти всегда;Иногда;Обычно;Обычно;Иногда;Почти всегда;Иногда;Почти всегда;Иногда;Редко;Скорее согласен;Не согласен;Скорее согласен;Скорее несогласен;Согласен;Скорее согласен;Согласен;Согласен;Трудно решить;Скорее несогласен;Согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Трудно решить;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Трудно решить;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Согласен;Трудно решить;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Трудно решить;Согласен;Скорее согласен;Согласен;Трудно решить;Трудно решить;Скорее согласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее несогласен;Трудно решить;Да;Нет;Да;Нет;Нет;Да;Нет;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Нет;Нет;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Я хотел бы вообще не работать;8;У меня не было других работ;0
5;5;22.10.2018 17:49:12;Мужской;21;IT;6;Нет;1 год;Обычно;Иногда;Иногда;Почти всегда;Обычно;Обычно;Обычно;Иногда;Обычно;Обычно;Редко;Редко;Редко;Почти всегда;Иногда;Обычно;Редко;Почти всегда;Редко;Иногда;Редко;Обычно;Редко;Почти всегда;Трудно решить;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Трудно решить;Согласен;Согласен;Скорее согласен;Скорее несогласен;Трудно решить;Не согласен;Не согласен;Согласен;Скорее согласен;Скорее несогласен;Согласен;Согласен;Не согласен;Не согласен;Скорее согласен;Скорее несогласен;Не согласен;Согласен;Согласен;Согласен;Скорее согласен;Не согласен;Скорее несогласен;Не согласен;Согласен;Скорее несогласен;Не согласен;Согласен;Скорее согласен;Скорее несогласен;Согласен;Согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Не согласен;Трудно решить;Скорее согласен;Согласен;Скорее несогласен;Не согласен;Скорее несогласен;Согласен;Да;Да;Нет;Нет;Да;Да;Нет;Да;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Да;Нет;Нет;Да;Да;Нет;Нет;Да;Я не знаю кем бы я хотел работать;9;У меня не было других работ;0
6;6;22.10.2018 17:50:24;трап :3;19;Фрилансер;6;Да;2-3 года;Почти всегда;Обычно;Редко;Иногда;Обычно;Обычно;Иногда;Обычно;Обычно;Редко;Иногда;Обычно;Редко;Почти всегда;Почти всегда;Иногда;Обычно;Обычно;Редко;Почти всегда;Иногда;Обычно;Редко;Иногда;Трудно решить;Скорее несогласен;Скорее согласен;Не согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Не согласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Скорее согласен;Не согласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Согласен;Скорее несогласен;Трудно решить;Скорее согласен;Трудно решить;Не согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее несогласен;Трудно решить;Трудно решить;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Трудно решить;Согласен;Скорее согласен;Согласен;Скорее согласен;Да;Да;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Да;Нет;Да;Нет;Да;Нет;Да;Да;Да;Да;Нет;Да;Нет;Нет;Да;Да;Да;Да;Я не знаю кем бы я хотел работать;9;фрилансером, епта!;6
7;7;22.10.2018 17:56:50;Мужской;20;Музыкант;4;Да;3-5 года;Иногда;Иногда;Обычно;Редко;Обычно;Иногда;Обычно;Обычно;Иногда;Иногда;Редко;Обычно;Иногда;Иногда;Обычно;Обычно;Редко;Обычно;Обычно;Редко;Иногда;Иногда;Иногда;Обычно;Трудно решить;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее несогласен;Трудно решить;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Трудно решить;Трудно решить;Трудно решить;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Трудно решить;Трудно решить;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Трудно решить;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Не согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Нет;Да;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Да;Да;Нет;Да;Нет;Да;Да;Нет;Нет;Да;Да;Да;Да;Нет;Да;Нет;Нет;Да;Да;Мне нравится моя профессия;7;У меня не было других работ;0
8;8;22.10.2018 18:09:02;Мужской;27;преподаватель;5;Да;3-5 года;Почти всегда;Иногда;Обычно;Почти всегда;Иногда;Обычно;Почти никогда;Иногда;Редко;Редко;Почти никогда;Иногда;Редко;Обычно;Редко;Иногда;Почти всегда;Обычно;Редко;Иногда;Иногда;Обычно;Обычно;Почти никогда;Скорее согласен;Трудно решить;Трудно решить;Не согласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Не согласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Не согласен;Не согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Не согласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Не согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Нет;Нет;Нет;Нет;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Да;Нет;Да;Да;Я хотел бы вообще не работать;8;инженер;3
9;9;22.10.2018 18:09:23;Мужской;31;Видеоинженер;2;Нет;Больше 5 лет;Обычно;Иногда;Обычно;Обычно;Редко;Обычно;Иногда;Почти всегда;Почти всегда;Иногда;Почти никогда;Почти никогда;Обычно;Почти всегда;Почти всегда;Редко;Обычно;Обычно;Редко;Редко;Иногда;Обычно;Обычно;Почти никогда;Трудно решить;Скорее согласен;Трудно решить;Трудно решить;Согласен;Скорее согласен;Скорее согласен;Согласен;Трудно решить;Не согласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Согласен;Не согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Согласен;Скорее несогласен;Согласен;Согласен;Согласен;Не согласен;Согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Трудно решить;Согласен;Скорее согласен;Трудно решить;Трудно решить;Согласен;Согласен;Нет;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Музыкант;4;Звукорежиссёр;4
